,Brazil
2021-04-13,148.07957670832116
2021-04-14,148.02216512145583
2021-04-15,148.11864995715658
2021-04-16,148.23397352798182
2021-04-19,148.32268097404665
2021-04-20,148.28541622900102
2021-04-22,148.28542927838558
2021-04-23,148.36941283033315
2021-04-26,148.165096469589
2021-04-27,148.38446307318677
2021-04-28,148.47530104030122
2021-04-29,148.4552224113329
2021-04-30,148.59281821732634
2021-05-03,148.51136423687242
2021-05-04,148.7225758096037
2021-05-05,148.60878896828325
2021-05-06,148.6185921008216
2021-05-07,148.67868950055998
2021-05-10,148.74155000843095
2021-05-11,148.68682188741406
2021-05-12,148.39932110954393
2021-05-13,148.7373550094535
2021-05-14,148.77489272459889
2021-05-17,148.67661591901563
2021-05-18,148.7138799661755
2021-05-19,148.70649772718878
2021-05-20,148.77146422177216
2021-05-21,148.7218737472381
2021-05-24,148.64970307495312
2021-05-25,148.65940397385737
2021-05-26,148.72849585440468
2021-05-27,148.7833587600704
2021-05-28,148.8004489267607
2021-05-31,149.02824615930106
2021-06-01,148.696295064712
2021-06-02,148.65616401547695
2021-06-04,148.62371800129083
2021-06-07,148.9158613761074
2021-06-08,148.53646962097935
2021-06-09,148.601193651641
2021-06-10,148.50447171354773
2021-06-11,148.41279392601743
2021-06-14,148.76518844548247
2021-06-15,148.5430706120651
2021-06-16,148.31058487397348
2021-06-17,148.02185179778215
2021-06-18,147.86082812872374
2021-06-21,148.1221067543113
2021-06-22,148.52218151127886
2021-06-23,148.26636879879533
2021-06-24,148.43643588096683
2021-06-25,148.7346840898978
2021-06-28,149.1826333597646
2021-06-29,149.52368015436448
2021-06-30,149.39994561299227
2021-07-01,149.99298998215374
2021-07-02,149.3034650871078
2021-07-05,149.73530995439575
2021-07-06,149.12947218730062
2021-07-07,149.20817474813165
2021-07-08,149.21843772349638
2021-07-12,149.30674212632934
2021-07-13,149.09342655402895
2021-07-14,149.12605577260112
2021-07-15,148.83609399350212
2021-07-16,149.0957100103344
2021-07-19,148.9808494953635
2021-07-20,148.78527911141956
2021-07-21,148.57789442245374
2021-07-22,148.73624958904213
2021-07-23,148.05804992140793
2021-07-26,147.74471365402363
2021-07-27,148.57707477483274
2021-07-28,148.62755845332939
2021-07-29,148.5591421300796
2021-07-30,148.81552908274313
2021-08-02,148.1033270692549
2021-08-03,148.43489199152242
2021-08-04,148.09032050123918
2021-08-05,147.12025150230113
2021-08-06,148.27670877968987
2021-08-09,147.57723104790142
2021-08-10,148.07437758529224
2021-08-11,148.61512750170235
2021-08-12,148.53875010690132
2021-08-13,148.12674450043087
2021-08-16,148.23964802635803
2021-08-17,148.88584559223477
2021-08-18,148.9050936800317
2021-08-19,148.45658773092015
2021-08-20,148.37194939099007
2021-08-23,148.2385895767938
2021-08-24,148.03583877291732
2021-08-25,147.79596958409613
2021-08-26,147.58781430811726
2021-08-27,147.3433754324312
2021-08-30,147.23450650379527
2021-08-31,146.89614930718247
2021-09-01,146.11773058430276
2021-09-02,145.95309958265608
2021-09-03,146.63515517435255
2021-09-06,146.10753959677936
2021-09-08,145.66475964570796
2021-09-09,145.78837625631635
2021-09-10,144.59768985640943
2021-09-13,146.19755110761807
2021-09-14,146.54841720932595
2021-09-15,146.96489161010882
2021-09-16,146.83307161950637
2021-09-17,147.05875082581167
2021-09-20,146.66133923339459
2021-09-21,146.49053620563663
2021-09-22,146.34878889881023
2021-09-23,146.7638247768701
2021-09-24,146.4224248612188
2021-09-27,146.48625600031394
2021-09-28,146.23007669214863
2021-09-29,146.08307988651782
2021-09-30,145.9829184721766
2021-10-01,145.98894092426698
2021-10-04,146.1726658314626
2021-10-05,146.19416801882463
2021-10-06,146.1675916835731
2021-10-07,146.56791039203685
2021-10-08,146.28182104287163
2021-10-11,146.28876823406588
2021-10-13,146.37298567512434
2021-10-14,146.3422054884871
2021-10-15,146.90138098819654
2021-10-18,146.93810554125207
2021-10-19,147.30943747167407
2021-10-20,147.39041099179386
2021-10-21,149.0187538957777
2021-10-22,151.80040955046934
2021-10-25,152.20304668688956
2021-10-26,152.5569741771002
2021-10-27,152.19773922641642
2021-10-28,151.45307466165013
2021-10-29,150.43317323695905
2021-11-01,150.53398254674303
2021-11-02,150.37190854413134
2021-11-03,150.17557221591878
2021-11-04,150.174608036866
2021-11-05,150.2799701562161
2021-11-08,150.42046009013566
2021-11-09,150.02571056147173
2021-11-10,150.27028917208517
2021-11-11,150.56802549224594
2021-11-12,150.49200530625313
2021-11-16,150.20133983709837
2021-11-17,150.31736696867802
2021-11-18,150.28436433865895
2021-11-19,150.42477873234168
2021-11-22,150.2760919233527
